time,visibility,reason
2025-05-12 00:00:00,🔴,Nighttime with low temperature.
2025-05-12 01:00:00,🔴,Nighttime with low temperature.
2025-05-12 02:00:00,🔴,Nighttime with low temperature.
2025-05-12 03:00:00,🔴,Nighttime with low temperature.
2025-05-12 04:00:00,🔴,Nighttime with low temperature.
2025-05-12 05:00:00,🔴,Nighttime with low temperature.
2025-05-12 06:00:00,🔴,Nighttime with low temperature.
2025-05-12 07:00:00,🟠,Sunrise with improving visibility.
2025-05-12 08:00:00,🟢,Good visibility and comfortable temperature.
2025-05-12 09:00:00,🟢,Excellent visibility and pleasant conditions.
2025-05-12 10:00:00,🟢,Optimal visibility for observations.
2025-05-12 11:00:00,🟢,Perfect visibility for astronomical observations.
2025-05-12 12:00:00,🟢,Ideal visibility and weather conditions.
2025-05-12 13:00:00,🟢,Great visibility and suitable temperature.
2025-05-12 14:00:00,🟢,"Very good visibility, slight chance of precipitation."
2025-05-12 15:00:00,🟢,Excellent visibility for observations.
2025-05-12 16:00:00,🟢,"Good visibility, perfect for stargazing."
2025-05-12 17:00:00,🟢,Clear visibility for astronomical activities.
2025-05-12 18:00:00,🟢,Fantastic visibility and weather conditions.
2025-05-12 19:00:00,🟢,"Great visibility, ideal for night sky observations."
2025-05-12 20:00:00,🟢,"Good visibility, suitable for stargazing."
2025-05-12 21:00:00,🟢,"Clear visibility, perfect for observing celestial objects."
2025-05-12 22:00:00,🟢,Satisfactory visibility for astronomical viewing.
2025-05-12 23:00:00,🔴,Nighttime with decreasing visibility.
2025-05-13 00:00:00,🔴,Late night with reduced visibility.
